"date","weekday","day_type","hour_type","hour"
"2024-11-23 00:00:00","saturday","holiday","night","0"
"2024-11-23 01:00:00","saturday","holiday","night","1"
"2024-11-23 02:00:00","saturday","holiday","night","2"
"2024-11-23 03:00:00","saturday","holiday","night","3"
"2024-11-23 04:00:00","saturday","holiday","night","4"
"2024-11-23 05:00:00","saturday","holiday","night","5"
"2024-11-23 06:00:00","saturday","holiday","morning","6"
"2024-11-23 07:00:00","saturday","holiday","morning","7"
"2024-11-23 08:00:00","saturday","holiday","morning","8"
"2024-11-23 09:00:00","saturday","holiday","morning","9"
"2024-11-23 10:00:00","saturday","holiday","morning","10"
"2024-11-23 11:00:00","saturday","holiday","morning","11"
"2024-11-23 12:00:00","saturday","holiday","afternoon","12"
"2024-11-23 13:00:00","saturday","holiday","afternoon","13"
"2024-11-23 14:00:00","saturday","holiday","afternoon","14"
"2024-11-23 15:00:00","saturday","holiday","afternoon","15"
"2024-11-23 16:00:00","saturday","holiday","afternoon","16"
"2024-11-23 17:00:00","saturday","holiday","afternoon","17"
"2024-11-23 18:00:00","saturday","holiday","evening","18"
"2024-11-23 19:00:00","saturday","holiday","evening","19"
"2024-11-23 20:00:00","saturday","holiday","evening","20"
"2024-11-23 21:00:00","saturday","holiday","evening","21"
"2024-11-23 22:00:00","saturday","holiday","evening","22"
"2024-11-23 23:00:00","saturday","holiday","evening","23"
"2024-11-24 00:00:00","sunday","holiday","night","0"
"2024-11-24 01:00:00","sunday","holiday","night","1"
"2024-11-24 02:00:00","sunday","holiday","night","2"
"2024-11-24 03:00:00","sunday","holiday","night","3"
"2024-11-24 04:00:00","sunday","holiday","night","4"
"2024-11-24 05:00:00","sunday","holiday","night","5"
"2024-11-24 06:00:00","sunday","holiday","morning","6"
"2024-11-24 07:00:00","sunday","holiday","morning","7"
"2024-11-24 08:00:00","sunday","holiday","morning","8"
"2024-11-24 09:00:00","sunday","holiday","morning","9"
"2024-11-24 10:00:00","sunday","holiday","morning","10"
"2024-11-24 11:00:00","sunday","holiday","morning","11"
"2024-11-24 12:00:00","sunday","holiday","afternoon","12"
"2024-11-24 13:00:00","sunday","holiday","afternoon","13"
"2024-11-24 14:00:00","sunday","holiday","afternoon","14"
"2024-11-24 15:00:00","sunday","holiday","afternoon","15"
"2024-11-24 16:00:00","sunday","holiday","afternoon","16"
"2024-11-24 17:00:00","sunday","holiday","afternoon","17"
"2024-11-24 18:00:00","sunday","holiday","evening","18"
"2024-11-24 19:00:00","sunday","holiday","evening","19"
"2024-11-24 20:00:00","sunday","holiday","evening","20"
"2024-11-24 21:00:00","sunday","holiday","evening","21"
"2024-11-24 22:00:00","sunday","holiday","evening","22"
"2024-11-24 23:00:00","sunday","holiday","evening","23"
"2024-11-25 00:00:00","monday","workday","night","0"
"2024-11-25 01:00:00","monday","workday","night","1"
"2024-11-25 02:00:00","monday","workday","night","2"
"2024-11-25 03:00:00","monday","workday","night","3"
"2024-11-25 04:00:00","monday","workday","night","4"
"2024-11-25 05:00:00","monday","workday","night","5"
"2024-11-25 06:00:00","monday","workday","morning","6"
"2024-11-25 07:00:00","monday","workday","morning","7"
"2024-11-25 08:00:00","monday","workday","morning","8"
"2024-11-25 09:00:00","monday","workday","morning","9"
"2024-11-25 10:00:00","monday","workday","morning","10"
"2024-11-25 11:00:00","monday","workday","morning","11"
"2024-11-25 12:00:00","monday","workday","afternoon","12"
"2024-11-25 13:00:00","monday","workday","afternoon","13"
"2024-11-25 14:00:00","monday","workday","afternoon","14"
"2024-11-25 15:00:00","monday","workday","afternoon","15"
"2024-11-25 16:00:00","monday","workday","afternoon","16"
"2024-11-25 17:00:00","monday","workday","afternoon","17"
"2024-11-25 18:00:00","monday","workday","evening","18"
"2024-11-25 19:00:00","monday","workday","evening","19"
"2024-11-25 20:00:00","monday","workday","evening","20"
"2024-11-25 21:00:00","monday","workday","evening","21"
"2024-11-25 22:00:00","monday","workday","evening","22"
"2024-11-25 23:00:00","monday","workday","evening","23"
"2024-11-26 00:00:00","tuesday","workday","night","0"
"2024-11-26 01:00:00","tuesday","workday","night","1"
"2024-11-26 02:00:00","tuesday","workday","night","2"
"2024-11-26 03:00:00","tuesday","workday","night","3"
"2024-11-26 04:00:00","tuesday","workday","night","4"
"2024-11-26 05:00:00","tuesday","workday","night","5"
"2024-11-26 06:00:00","tuesday","workday","morning","6"
"2024-11-26 07:00:00","tuesday","workday","morning","7"
"2024-11-26 08:00:00","tuesday","workday","morning","8"
"2024-11-26 09:00:00","tuesday","workday","morning","9"
"2024-11-26 10:00:00","tuesday","workday","morning","10"
"2024-11-26 11:00:00","tuesday","workday","morning","11"
"2024-11-26 12:00:00","tuesday","workday","afternoon","12"
"2024-11-26 13:00:00","tuesday","workday","afternoon","13"
"2024-11-26 14:00:00","tuesday","workday","afternoon","14"
"2024-11-26 15:00:00","tuesday","workday","afternoon","15"
"2024-11-26 16:00:00","tuesday","workday","afternoon","16"
"2024-11-26 17:00:00","tuesday","workday","afternoon","17"
"2024-11-26 18:00:00","tuesday","workday","evening","18"
"2024-11-26 19:00:00","tuesday","workday","evening","19"
"2024-11-26 20:00:00","tuesday","workday","evening","20"
"2024-11-26 21:00:00","tuesday","workday","evening","21"
"2024-11-26 22:00:00","tuesday","workday","evening","22"
"2024-11-26 23:00:00","tuesday","workday","evening","23"
"2024-11-27 00:00:00","wednesday","workday","night","0"
"2024-11-27 01:00:00","wednesday","workday","night","1"
"2024-11-27 02:00:00","wednesday","workday","night","2"
"2024-11-27 03:00:00","wednesday","workday","night","3"
"2024-11-27 04:00:00","wednesday","workday","night","4"
"2024-11-27 05:00:00","wednesday","workday","night","5"
"2024-11-27 06:00:00","wednesday","workday","morning","6"
"2024-11-27 07:00:00","wednesday","workday","morning","7"
"2024-11-27 08:00:00","wednesday","workday","morning","8"
"2024-11-27 09:00:00","wednesday","workday","morning","9"
"2024-11-27 10:00:00","wednesday","workday","morning","10"
"2024-11-27 11:00:00","wednesday","workday","morning","11"
"2024-11-27 12:00:00","wednesday","workday","afternoon","12"
"2024-11-27 13:00:00","wednesday","workday","afternoon","13"
"2024-11-27 14:00:00","wednesday","workday","afternoon","14"
"2024-11-27 15:00:00","wednesday","workday","afternoon","15"
"2024-11-27 16:00:00","wednesday","workday","afternoon","16"
"2024-11-27 17:00:00","wednesday","workday","afternoon","17"
"2024-11-27 18:00:00","wednesday","workday","evening","18"
"2024-11-27 19:00:00","wednesday","workday","evening","19"
"2024-11-27 20:00:00","wednesday","workday","evening","20"
"2024-11-27 21:00:00","wednesday","workday","evening","21"
"2024-11-27 22:00:00","wednesday","workday","evening","22"
"2024-11-27 23:00:00","wednesday","workday","evening","23"
"2024-11-28 00:00:00","thursday","workday","night","0"
"2024-11-28 01:00:00","thursday","workday","night","1"
"2024-11-28 02:00:00","thursday","workday","night","2"
"2024-11-28 03:00:00","thursday","workday","night","3"
"2024-11-28 04:00:00","thursday","workday","night","4"
"2024-11-28 05:00:00","thursday","workday","night","5"
"2024-11-28 06:00:00","thursday","workday","morning","6"
"2024-11-28 07:00:00","thursday","workday","morning","7"
"2024-11-28 08:00:00","thursday","workday","morning","8"
"2024-11-28 09:00:00","thursday","workday","morning","9"
"2024-11-28 10:00:00","thursday","workday","morning","10"
"2024-11-28 11:00:00","thursday","workday","morning","11"
"2024-11-28 12:00:00","thursday","workday","afternoon","12"
"2024-11-28 13:00:00","thursday","workday","afternoon","13"
"2024-11-28 14:00:00","thursday","workday","afternoon","14"
"2024-11-28 15:00:00","thursday","workday","afternoon","15"
"2024-11-28 16:00:00","thursday","workday","afternoon","16"
"2024-11-28 17:00:00","thursday","workday","afternoon","17"
"2024-11-28 18:00:00","thursday","workday","evening","18"
"2024-11-28 19:00:00","thursday","workday","evening","19"
"2024-11-28 20:00:00","thursday","workday","evening","20"
"2024-11-28 21:00:00","thursday","workday","evening","21"
"2024-11-28 22:00:00","thursday","workday","evening","22"
"2024-11-28 23:00:00","thursday","workday","evening","23"
"2024-11-29 00:00:00","friday","workday","night","0"
"2024-11-29 01:00:00","friday","workday","night","1"
"2024-11-29 02:00:00","friday","workday","night","2"
"2024-11-29 03:00:00","friday","workday","night","3"
"2024-11-29 04:00:00","friday","workday","night","4"
"2024-11-29 05:00:00","friday","workday","night","5"
"2024-11-29 06:00:00","friday","workday","morning","6"
"2024-11-29 07:00:00","friday","workday","morning","7"
"2024-11-29 08:00:00","friday","workday","morning","8"
"2024-11-29 09:00:00","friday","workday","morning","9"
"2024-11-29 10:00:00","friday","workday","morning","10"
"2024-11-29 11:00:00","friday","workday","morning","11"
"2024-11-29 12:00:00","friday","workday","afternoon","12"
"2024-11-29 13:00:00","friday","workday","afternoon","13"
"2024-11-29 14:00:00","friday","workday","afternoon","14"
"2024-11-29 15:00:00","friday","workday","afternoon","15"
"2024-11-29 16:00:00","friday","workday","afternoon","16"
"2024-11-29 17:00:00","friday","workday","afternoon","17"
"2024-11-29 18:00:00","friday","workday","evening","18"
"2024-11-29 19:00:00","friday","workday","evening","19"
"2024-11-29 20:00:00","friday","workday","evening","20"
"2024-11-29 21:00:00","friday","workday","evening","21"
"2024-11-29 22:00:00","friday","workday","evening","22"
"2024-11-29 23:00:00","friday","workday","evening","23"
