date,hour,weekday,day_type,hour_type,weather,temp,traffic,jams,crash,address
2024-11-23 00:00:00,0,saturday,holiday,night,clear,6,8206,0,0,0
2024-11-23 01:00:00,1,saturday,holiday,night,clear,6,5878,0,0,0
2024-11-23 02:00:00,2,saturday,holiday,night,clear,7,3783,0,0,0
2024-11-23 03:00:00,3,saturday,holiday,night,clear,7,2211,0,0,0
2024-11-23 04:00:00,4,saturday,holiday,night,cloudy,8,3201,0,0,0
2024-11-23 05:00:00,5,saturday,holiday,night,cloudy,8,5645,0,0,0
2024-11-23 06:00:00,6,saturday,holiday,morning,cloudy,9,11407,0,0,0
2024-11-23 07:00:00,7,saturday,holiday,morning,cloudy,10,20952,1,0,0
2024-11-23 08:00:00,8,saturday,holiday,morning,rain,10,26248,1,1,Восточно-Кругликовская
2024-11-23 09:00:00,9,saturday,holiday,morning,rain,11,32418,2,0,0
2024-11-23 10:00:00,10,saturday,holiday,morning,rain,11,37132,2,0,0
2024-11-23 11:00:00,11,saturday,holiday,morning,rain,11,39868,4,0,0
2024-11-23 12:00:00,12,saturday,holiday,afternoon,rain,11,40508,5,1,Фадеева
2024-11-23 13:00:00,13,saturday,holiday,afternoon,cloudy,11,41905,5,0,0
2024-11-23 14:00:00,14,saturday,holiday,afternoon,cloudy,10,42137,5,1,Гагаина
2024-11-23 15:00:00,15,saturday,holiday,afternoon,cloudy,10,40682,4,0,0
2024-11-23 16:00:00,16,saturday,holiday,afternoon,cloudy,9,40042,4,0,0
2024-11-23 17:00:00,17,saturday,holiday,afternoon,cloudy,8,31021,4,0,0
2024-11-23 18:00:00,18,saturday,holiday,evening,cloudy,8,29158,3,0,0
2024-11-23 19:00:00,19,saturday,holiday,evening,cloudy,8,32767,3,0,0
2024-11-23 20:00:00,20,saturday,holiday,evening,rain,8,25550,2,1,Лизы_Чайкиной
2024-11-23 21:00:00,21,saturday,holiday,evening,rain,8,23047,1,0,0
2024-11-23 22:00:00,22,saturday,holiday,evening,rain,8,19148,0,1,Янковского
2024-11-23 23:00:00,23,saturday,holiday,evening,rain,7,13793,0,0,0
2024-11-24 00:00:00,0,sunday,holiday,night,clear,7,9836,0,1,Промышленная
2024-11-24 01:00:00,1,sunday,holiday,night,clear,6,6052,0,0,0
2024-11-24 02:00:00,2,sunday,holiday,night,clear,5,4772,0,0,0
2024-11-24 03:00:00,3,sunday,holiday,night,clear,4,3317,0,0,0
2024-11-24 04:00:00,4,sunday,holiday,night,cloudy,3,2910,0,0,0
2024-11-24 05:00:00,5,sunday,holiday,night,cloudy,3,4015,0,0,0
2024-11-24 06:00:00,6,sunday,holiday,morning,cloudy,2,8090,0,1,Артиллерийская
2024-11-24 07:00:00,7,sunday,holiday,morning,cloudy,2,15597,0,0,0
2024-11-24 08:00:00,8,sunday,holiday,morning,rain,2,22989,1,0,0
2024-11-24 09:00:00,9,sunday,holiday,morning,rain,2,28576,2,1,Селезнева
2024-11-24 10:00:00,10,sunday,holiday,morning,rain,2,30672,2,0,0
2024-11-24 11:00:00,11,sunday,holiday,morning,rain,3,33582,1,0,0
2024-11-24 12:00:00,12,sunday,holiday,afternoon,rain,3,33640,2,0,0
2024-11-24 13:00:00,13,sunday,holiday,afternoon,cloudy,3,40100,3,0,0
2024-11-24 14:00:00,14,sunday,holiday,afternoon,cloudy,3,40857,3,2,"Трамвайная, Героев-Разведчиков"
2024-11-24 15:00:00,15,sunday,holiday,afternoon,cloudy,3,38878,3,0,0
2024-11-24 16:00:00,16,sunday,holiday,afternoon,cloudy,2,35386,3,0,0
2024-11-24 17:00:00,17,sunday,holiday,afternoon,cloudy,2,39460,4,0,0
2024-11-24 18:00:00,18,sunday,holiday,evening,cloudy,1,35037,3,0,0
2024-11-24 19:00:00,19,sunday,holiday,evening,cloudy,0,35211,2,0,0
2024-11-24 20:00:00,20,sunday,holiday,evening,rain,-1,29973,1,0,0
2024-11-24 21:00:00,21,sunday,holiday,evening,rain,-2,25841,0,0,0
2024-11-24 22:00:00,22,sunday,holiday,evening,rain,-3,20021,0,0,0
2024-11-24 23:00:00,23,sunday,holiday,evening,rain,-3,15074,0,0,0
2024-11-25 00:00:00,0,monday,workday,night,clear,-4,11989,0,0,0
2024-11-25 01:00:00,1,monday,workday,night,clear,-4,7857,0,1,Кубанонабережная
2024-11-25 02:00:00,2,monday,workday,night,clear,-5,5878,0,0,0
2024-11-25 03:00:00,3,monday,workday,night,clear,-5,4306,0,1,Черкасская
2024-11-25 04:00:00,4,monday,workday,night,cloudy,-5,3550,0,0,0
2024-11-25 05:00:00,5,monday,workday,night,cloudy,-4,3957,2,0,0
2024-11-25 06:00:00,6,monday,workday,morning,cloudy,-4,5412,3,1,Калинина
2024-11-25 07:00:00,7,monday,workday,morning,cloudy,-3,9021,2,0,0
2024-11-25 08:00:00,8,monday,workday,morning,rain,-3,14142,3,0,0
2024-11-25 09:00:00,9,monday,workday,morning,rain,-2,22174,4,0,0
2024-11-25 10:00:00,10,monday,workday,morning,rain,-1,26772,5,1,"Северная, Мира"
2024-11-25 11:00:00,11,monday,workday,morning,rain,0,31719,3,0,0
2024-11-25 12:00:00,12,monday,workday,afternoon,rain,0,35095,4,1,Российская
2024-11-25 13:00:00,13,monday,workday,afternoon,cloudy,0,37248,4,1,Урицкого
2024-11-25 14:00:00,14,monday,workday,afternoon,cloudy,0,37539,4,0,0
2024-11-25 15:00:00,15,monday,workday,afternoon,cloudy,0,38936,4,0,0
2024-11-25 16:00:00,16,monday,workday,afternoon,cloudy,-1,39577,5,0,0
2024-11-25 17:00:00,17,monday,workday,afternoon,cloudy,-1,38121,5,0,0
2024-11-25 18:00:00,18,monday,workday,evening,cloudy,-1,36143,7,1,Кузнечная
2024-11-25 19:00:00,19,monday,workday,evening,cloudy,-1,32127,7,1,Солнечная
2024-11-25 20:00:00,20,monday,workday,evening,rain,-1,29915,6,0,0
2024-11-25 21:00:00,21,monday,workday,evening,rain,-1,23920,4,0,0
2024-11-25 22:00:00,22,monday,workday,evening,rain,0,19555,1,1,Российская
2024-11-25 23:00:00,23,monday,workday,evening,rain,0,15656,0,0,0
2024-11-26 00:00:00,0,tuesday,workday,night,clear,0,9370,0,1,Красная
2024-11-26 01:00:00,1,tuesday,workday,night,clear,0,5887,0,1,Урицкого
2024-11-26 02:00:00,2,tuesday,workday,night,clear,0,3084,0,1,Чапаева
2024-11-26 03:00:00,3,tuesday,workday,night,clear,0,2851,0,0,0
2024-11-26 04:00:00,4,tuesday,workday,night,cloudy,0,2386,0,1,Железнодорожная
2024-11-26 05:00:00,5,tuesday,workday,night,cloudy,0,4830,0,0,0
2024-11-26 06:00:00,6,tuesday,workday,morning,cloudy,0,9486,0,0,0
2024-11-26 07:00:00,7,tuesday,workday,morning,cloudy,1,16878,4,0,0
2024-11-26 08:00:00,8,tuesday,workday,morning,rain,1,21185,5,0,0
2024-11-26 09:00:00,9,tuesday,workday,morning,rain,2,26307,6,1,Кузнечная
2024-11-26 10:00:00,10,tuesday,workday,morning,rain,3,26598,5,0,0
2024-11-26 11:00:00,11,tuesday,workday,morning,rain,4,29566,4,0,0
2024-11-26 12:00:00,12,tuesday,workday,afternoon,rain,4,34222,4,1,Максима_Горького
2024-11-26 13:00:00,13,tuesday,workday,afternoon,cloudy,4,32301,5,0,0
2024-11-26 14:00:00,14,tuesday,workday,afternoon,cloudy,4,31778,4,1,Фадеева
2024-11-26 15:00:00,15,tuesday,workday,afternoon,cloudy,4,32010,5,0,0
2024-11-26 16:00:00,16,tuesday,workday,afternoon,cloudy,4,31021,7,1,Рашпилевская
2024-11-26 17:00:00,17,tuesday,workday,afternoon,cloudy,3,21243,8,0,0
2024-11-26 18:00:00,18,tuesday,workday,evening,cloudy,3,19963,6,0,0
2024-11-26 19:00:00,19,tuesday,workday,evening,cloudy,3,22814,5,0,0
2024-11-26 20:00:00,20,tuesday,workday,evening,rain,3,28809,3,0,0
2024-11-26 21:00:00,21,tuesday,workday,evening,rain,2,24793,1,0,0
2024-11-26 22:00:00,22,tuesday,workday,evening,rain,2,19730,0,1,"Красная, Батуринская"
2024-11-26 23:00:00,23,tuesday,workday,evening,rain,2,13502,0,3,"Красных_Партизан, Кубанонабережная, им"
2024-11-27 00:00:00,0,wednesday,workday,night,clear,2,8846,0,0,0
2024-11-27 01:00:00,1,wednesday,workday,night,clear,2,4772,0,0,0
2024-11-27 02:00:00,2,wednesday,workday,night,clear,2,3375,0,0,0
2024-11-27 03:00:00,3,wednesday,workday,night,clear,2,2560,0,0,0
2024-11-27 04:00:00,4,wednesday,workday,night,cloudy,2,2386,0,0,0
2024-11-27 05:00:00,5,wednesday,workday,night,cloudy,2,5354,0,0,0
2024-11-27 06:00:00,6,wednesday,workday,morning,cloudy,2,12571,0,0,0
2024-11-27 07:00:00,7,wednesday,workday,morning,cloudy,2,21301,2,0,0
2024-11-27 08:00:00,8,wednesday,workday,morning,rain,3,28518,5,0,0
2024-11-27 09:00:00,9,wednesday,workday,morning,rain,3,33407,6,1,"Российская, Котовского"
2024-11-27 10:00:00,10,wednesday,workday,morning,rain,3,36317,4,0,0
2024-11-27 11:00:00,11,wednesday,workday,morning,rain,4,41032,4,1,Калинина
2024-11-27 12:00:00,12,wednesday,workday,afternoon,rain,4,40391,5,3,"Железнодорожная, Кореновская, Карасунская"
2024-11-27 13:00:00,13,wednesday,workday,afternoon,cloudy,4,37598,5,0,0
2024-11-27 14:00:00,14,wednesday,workday,afternoon,cloudy,4,40391,4,1,Новороссийская
2024-11-27 15:00:00,15,wednesday,workday,afternoon,cloudy,4,41148,4,0,0
2024-11-27 16:00:00,16,wednesday,workday,afternoon,cloudy,4,37016,5,1,Железнодорожная
2024-11-27 17:00:00,17,wednesday,workday,afternoon,cloudy,4,25608,7,0,0
2024-11-27 18:00:00,18,wednesday,workday,evening,cloudy,4,25899,8,1,Рашпилевская
2024-11-27 19:00:00,19,wednesday,workday,evening,cloudy,4,31195,7,0,0
2024-11-27 20:00:00,20,wednesday,workday,evening,rain,4,28926,5,0,0
2024-11-27 21:00:00,21,wednesday,workday,evening,rain,4,24836,2,0,0
2024-11-27 22:00:00,22,wednesday,workday,evening,rain,3,21010,1,1,Калинина
2024-11-27 23:00:00,23,wednesday,workday,evening,rain,3,14317,0,0,0
2024-11-28 00:00:00,0,thursday,workday,night,clear,3,8090,0,0,0
2024-11-28 01:00:00,1,thursday,workday,night,clear,3,5296,0,0,0
2024-11-28 02:00:00,2,thursday,workday,night,clear,3,3201,0,0,0
2024-11-28 03:00:00,3,thursday,workday,night,clear,3,2619,0,1,Фадеева
2024-11-28 04:00:00,4,thursday,workday,night,cloudy,3,2968,0,0,0
2024-11-28 05:00:00,5,thursday,workday,night,cloudy,3,4481,0,1,Московская
2024-11-28 06:00:00,6,thursday,workday,morning,cloudy,3,10418,2,1,Суворова
2024-11-28 07:00:00,7,thursday,workday,morning,cloudy,3,20894,4,1,Трамвайная
2024-11-28 08:00:00,8,thursday,workday,morning,rain,4,28751,6,0,0
2024-11-28 09:00:00,9,thursday,workday,morning,rain,4,32592,5,1,Героев-Разведчиков
2024-11-28 10:00:00,10,thursday,workday,morning,rain,4,41323,5,0,0
2024-11-28 11:00:00,11,thursday,workday,morning,rain,5,39285,5,2,"Восточно-Кругликовская, Красная"
2024-11-28 12:00:00,12,thursday,workday,afternoon,rain,5,40741,6,1,Солнечная
2024-11-28 13:00:00,13,thursday,workday,afternoon,cloudy,5,45280,5,0,0
2024-11-28 14:00:00,14,thursday,workday,afternoon,cloudy,5,44465,5,0,0
2024-11-28 15:00:00,15,thursday,workday,afternoon,cloudy,5,43825,5,1,Трамвайная
2024-11-28 16:00:00,16,thursday,workday,afternoon,cloudy,5,40100,6,1,"Батуринская, Крупской"
2024-11-28 17:00:00,17,thursday,workday,afternoon,cloudy,4,26481,8,0,0
2024-11-28 18:00:00,18,thursday,workday,evening,cloudy,4,24502,9,0,0
2024-11-28 19:00:00,19,thursday,workday,evening,cloudy,4,30497,6,0,0
2024-11-28 20:00:00,20,thursday,workday,evening,rain,4,28576,4,1,Ставропольская
2024-11-28 21:00:00,21,thursday,workday,evening,rain,3,27703,2,1,Суворова
2024-11-28 22:00:00,22,thursday,workday,evening,rain,3,19486,0,0,0
2024-11-28 23:00:00,23,thursday,workday,evening,rain,3,13095,0,0,0
2024-11-29 00:00:00,0,friday,workday,night,clear,2,8555,0,0,0
2024-11-29 01:00:00,1,friday,workday,night,clear,1,5820,0,0,0
2024-11-29 02:00:00,2,friday,workday,night,clear,1,3783,0,2,"Кузнечная, Сормовская"
2024-11-29 03:00:00,3,friday,workday,night,clear,0,2502,0,3,"Тургенева, Кузнечная, Восточная"
2024-11-29 04:00:00,4,friday,workday,night,cloudy,-1,3783,0,0,0
2024-11-29 05:00:00,5,friday,workday,night,cloudy,-1,4888,1,1,Полины_Осипенко
2024-11-29 06:00:00,6,friday,workday,morning,cloudy,-1,10476,2,0,0
2024-11-29 07:00:00,7,friday,workday,morning,cloudy,0,20021,4,2,"Максима_Горького, Железнодорожная"
2024-11-29 08:00:00,8,friday,workday,morning,rain,0,25084,5,0,0
2024-11-29 09:00:00,9,friday,workday,morning,rain,1,35037,4,0,0
2024-11-29 10:00:00,10,friday,workday,morning,rain,3,35270,4,0,0
2024-11-29 11:00:00,11,friday,workday,morning,rain,4,39518,4,2,"Новороссийская, Чапаева"
2024-11-29 12:00:00,12,friday,workday,afternoon,rain,5,41264,5,1,Российская
2024-11-29 13:00:00,13,friday,workday,afternoon,cloudy,6,42661,5,0,0
2024-11-29 14:00:00,14,friday,workday,afternoon,cloudy,6,40508,6,1,Тенистая
2024-11-29 15:00:00,15,friday,workday,afternoon,cloudy,6,42778,6,1,"Красная, Батуринская"
2024-11-29 16:00:00,16,friday,workday,afternoon,cloudy,6,37132,7,1,Железнодорожная
2024-11-29 17:00:00,17,friday,workday,afternoon,cloudy,4,27121,8,1,Российская
2024-11-29 18:00:00,18,friday,workday,evening,cloudy,2,42074,8,1,Ленина
2024-11-29 19:00:00,19,friday,workday,evening,cloudy,2,28693,7,1,Российская
2024-11-29 20:00:00,20,friday,workday,evening,rain,2,29275,3,0,0
2024-11-29 21:00:00,21,friday,workday,evening,rain,2,30788,1,1,Тенистая
2024-11-29 22:00:00,22,friday,workday,evening,rain,2,22116,0,0,0
2024-11-29 23:00:00,23,friday,workday,evening,rain,2,13910,0,1,Кузнечная
